Gender,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%
Female,420-11-4919,C,Naypyitaw,Member,Food and beverages,71.39,5,178.475
Female,606-80-4905,C,Naypyitaw,Member,Sports and travel,19.15,6,5.745
Female,542-41-0513,B,Mandalay,Member,Electronic accessories,57.49,4,11.498
Female,749-24-1565,A,Yangon,Normal,Health and beauty,23.03,9,10.3635
Female,672-51-8681,C,Naypyitaw,Member,Electronic accessories,66.65,9,299.925
Female,263-87-5680,C,Naypyitaw,Member,Home and lifestyle,28.53,10,14.265
Female,573-58-9734,B,Mandalay,Normal,Fashion accessories,30.37,3,4.5555
Female,817-69-8206,B,Mandalay,Normal,Electronic accessories,99.73,9,448.785
Female,677-11-0152,C,Naypyitaw,Normal,Food and beverages,93.26,9,41.967
Female,891-58-8335,B,Mandalay,Member,Sports and travel,29.61,7,10.3635
Female,560-30-5617,B,Mandalay,Normal,Sports and travel,24.77,5,6.1925
Female,319-74-2561,A,Yangon,Member,Electronic accessories,94.64,3,14.196
Female,790-29-1172,B,Mandalay,Normal,Food and beverages,57.34,3,8.601
Female,279-62-1445,C,Naypyitaw,Member,Fashion accessories,12.54,1,627
Female,746-68-6593,C,Naypyitaw,Member,Sports and travel,87.16,2,8.716
Female,466-61-5506,B,Mandalay,Member,Electronic accessories,90.7,6,27.21
Female,721-86-6247,A,Yangon,Normal,Home and lifestyle,63.42,8,25.368
Female,289-65-5721,B,Mandalay,Normal,Fashion accessories,81.37,2,8.137
Female,545-46-3100,B,Mandalay,Member,Electronic accessories,10.59,3,1.5885
Female,418-02-5978,B,Mandalay,Normal,Health and beauty,84.09,9,378.405
Female,645-78-8093,A,Yangon,Normal,Sports and travel,93.14,2,9.314
Female,755-12-3214,C,Naypyitaw,Member,Fashion accessories,44.22,5,11.055
Female,346-84-3103,B,Mandalay,Member,Electronic accessories,13.22,5,3.305
Female,866-05-7563,B,Mandalay,Member,Electronic accessories,81.4,3,12.21
Female,883-17-4236,C,Naypyitaw,Normal,Sports and travel,14.39,2,1.439
Female,850-41-9669,A,Yangon,Normal,Electronic accessories,75.06,9,33.777
Female,821-07-3596,C,Naypyitaw,Normal,Fashion accessories,16.45,4,3.29
Female,655-85-5130,B,Mandalay,Member,Fashion accessories,38.3,4,7.66
Female,447-15-7839,A,Yangon,Member,Sports and travel,22.24,10,11.12
Female,253-12-6086,A,Yangon,Member,Sports and travel,98.4,7,34.44
Female,571-94-0759,B,Mandalay,Member,Food and beverages,74.6,10,37.3
Female,731-14-2199,A,Yangon,Member,Home and lifestyle,35.54,10,17.77
Female,783-09-1637,B,Mandalay,Normal,Sports and travel,67.43,5,168.575
Female,687-15-1097,C,Naypyitaw,Member,Health and beauty,21.12,2,2.112
Female,126-54-1082,A,Yangon,Member,Home and lifestyle,21.54,9,9.693
Female,633-91-1052,A,Yangon,Normal,Home and lifestyle,12.03,2,1.203
Female,477-24-6490,B,Mandalay,Normal,Health and beauty,99.71,6,29.913
Female,526-86-8552,C,Naypyitaw,Member,Home and lifestyle,21.82,10,10.91
Female,376-56-3573,C,Naypyitaw,Normal,Fashion accessories,95.42,4,19.084
Female,136-08-6195,A,Yangon,Normal,Home and lifestyle,69.96,8,27.984
Female,490-29-1201,A,Yangon,Normal,Sports and travel,15.34,1,767
Female,565-17-3836,A,Yangon,Member,Health and beauty,47.67,4,9.534
Female,226-71-3580,C,Naypyitaw,Normal,Sports and travel,23.75,9,10.6875
Female,283-79-9594,B,Mandalay,Normal,Food and beverages,48.51,7,169.785
Female,430-60-3493,A,Yangon,Member,Home and lifestyle,94.88,7,33.208
Female,278-97-7759,A,Yangon,Member,Electronic accessories,62.48,1,3.124
Female,316-68-6352,A,Yangon,Member,Food and beverages,36.36,2,3.636
Female,211-05-0490,C,Naypyitaw,Member,Electronic accessories,51.92,5,12.98
Female,779-06-0012,C,Naypyitaw,Member,Home and lifestyle,88.61,1,4.4305
Female,439-54-7422,A,Yangon,Normal,Electronic accessories,51.19,4,10.238
Female,396-90-2219,B,Mandalay,Normal,Electronic accessories,14.96,8,5.984
Female,286-01-5402,A,Yangon,Normal,Sports and travel,40.23,7,140.805
Female,803-17-8013,A,Yangon,Member,Home and lifestyle,88.79,8,35.516
Female,512-98-1403,A,Yangon,Member,Electronic accessories,26.48,3,3.972
Female,848-42-2560,A,Yangon,Normal,Fashion accessories,81.91,2,8.191
Female,870-76-1733,A,Yangon,Member,Food and beverages,14.23,5,3.5575
Female,423-64-4619,A,Yangon,Member,Health and beauty,15.55,9,6.9975
Female,227-07-4446,C,Naypyitaw,Member,Electronic accessories,78.13,10,39.065
Female,428-83-5800,C,Naypyitaw,Member,Food and beverages,21.08,3,3.162
Female,704-20-4138,C,Naypyitaw,Member,Health and beauty,29.67,7,10.3845
Female,649-11-3678,C,Naypyitaw,Normal,Food and beverages,22.93,9,10.3185
Female,622-20-1945,C,Naypyitaw,Normal,Health and beauty,39.42,1,1.971
Female,563-91-7120,A,Yangon,Normal,Fashion accessories,61.77,5,154.425
Female,527-09-6272,A,Yangon,Member,Electronic accessories,28.45,5,7.1125
Female,692-27-8933,B,Mandalay,Normal,Sports and travel,57.95,6,17.385
Female,633-09-3463,C,Naypyitaw,Normal,Electronic accessories,47.65,3,7.1475
Female,374-17-3652,B,Mandalay,Member,Food and beverages,42.82,9,19.269
Female,433-75-6987,B,Mandalay,Member,Health and beauty,55.97,7,195.895
Female,873-95-4984,B,Mandalay,Member,Health and beauty,76.9,7,26.915
Female,416-13-5917,C,Naypyitaw,Normal,Food and beverages,97.03,5,242.575
Female,135-84-8019,A,Yangon,Normal,Fashion accessories,77.93,9,350.685
Female,725-96-3778,C,Naypyitaw,Member,Home and lifestyle,89.25,8,35.7
Female,400-45-1220,B,Mandalay,Normal,Health and beauty,13.5,10,6.75
Female,860-79-0874,C,Naypyitaw,Member,Fashion accessories,99.3,10,49.65
Female,115-99-4379,B,Mandalay,Member,Fashion accessories,54.73,7,191.555
Female,320-49-6392,C,Naypyitaw,Normal,Electronic accessories,30.24,1,1.512
Female,889-04-9723,B,Mandalay,Member,Food and beverages,89.14,4,17.828
Female,632-90-0281,C,Naypyitaw,Normal,Fashion accessories,37.55,10,18.775
Female,554-42-2417,C,Naypyitaw,Normal,Sports and travel,95.44,10,47.72
Female,605-72-4132,C,Naypyitaw,Normal,Food and beverages,94.47,8,37.788
Female,272-27-9238,C,Naypyitaw,Normal,Food and beverages,41.24,4,8.248
Female,834-25-9262,C,Naypyitaw,Normal,Fashion accessories,81.68,4,16.336
Female,122-61-9553,C,Naypyitaw,Normal,Electronic accessories,51.32,9,23.094
Female,613-59-9758,C,Naypyitaw,Normal,Sports and travel,14.36,10,7.18
Female,201-86-2184,B,Mandalay,Member,Electronic accessories,26.26,7,9.191
Female,261-12-8671,B,Mandalay,Normal,Fashion accessories,60.96,2,6.096
Female,730-70-9830,C,Naypyitaw,Normal,Home and lifestyle,70.11,6,21.033
Female,422-29-8786,A,Yangon,Normal,Home and lifestyle,67.09,5,167.725
Female,667-23-5919,A,Yangon,Member,Fashion accessories,96.7,5,24.175
Female,843-01-4703,B,Mandalay,Member,Home and lifestyle,35.38,9,15.921
Female,182-69-8360,B,Mandalay,Normal,Electronic accessories,23.65,4,4.73
Female,462-78-5240,C,Naypyitaw,Normal,Electronic accessories,26.61,2,2.661
Female,868-52-7573,B,Mandalay,Normal,Food and beverages,99.69,5,249.225
Female,153-58-4872,C,Naypyitaw,Member,Food and beverages,74.89,4,14.978
Female,662-72-2873,A,Yangon,Normal,Food and beverages,40.94,5,10.235
Female,725-56-0833,A,Yangon,Normal,Health and beauty,32.32,10,16.16
Female,394-41-0748,C,Naypyitaw,Member,Fashion accessories,54.07,9,243.315
Female,541-89-9860,C,Naypyitaw,Member,Fashion accessories,80.48,3,12.072
Female,173-82-9529,B,Mandalay,Normal,Fashion accessories,37.95,10,18.975
Female,308-47-4913,A,Yangon,Member,Sports and travel,52.26,10,26.13
Female,885-17-6250,A,Yangon,Normal,Health and beauty,79.74,1,3.987
Female,726-27-2396,A,Yangon,Normal,Health and beauty,77.5,5,19.375
Female,316-01-3952,A,Yangon,Normal,Food and beverages,54.27,5,135.675
Female,793-10-3222,B,Mandalay,Member,Health and beauty,41.06,6,12.318
Female,110-05-6330,C,Naypyitaw,Normal,Food and beverages,39.43,6,11.829
Female,831-64-0259,B,Mandalay,Normal,Fashion accessories,39.75,5,9.9375
Female,587-03-7455,C,Naypyitaw,Member,Fashion accessories,97.79,7,342.265
Female,725-32-9708,B,Mandalay,Member,Fashion accessories,68.71,4,13.742
Female,256-08-8343,A,Yangon,Normal,Home and lifestyle,56.53,4,11.306
Female,372-26-1506,C,Naypyitaw,Normal,Fashion accessories,23.82,5,5.955
Female,244-08-0162,B,Mandalay,Normal,Health and beauty,34.21,10,17.105
Female,750-57-9686,C,Naypyitaw,Normal,Home and lifestyle,45.38,4,9.076
Female,186-09-3669,C,Naypyitaw,Member,Health and beauty,81.51,1,4.0755
Female,848-07-1692,B,Mandalay,Normal,Health and beauty,57.22,2,5.722
Female,745-71-3520,A,Yangon,Member,Electronic accessories,25.22,7,8.827
Female,266-76-6436,C,Naypyitaw,Member,Food and beverages,38.6,3,5.79
Female,740-22-2500,C,Naypyitaw,Normal,Electronic accessories,84.05,3,12.6075
Female,271-88-8734,C,Naypyitaw,Member,Fashion accessories,97.21,10,48.605
Female,650-98-6268,B,Mandalay,Member,Food and beverages,20.87,3,3.1305
Female,325-77-6186,A,Yangon,Member,Home and lifestyle,90.65,10,45.325
Female,459-50-7686,A,Yangon,Normal,Electronic accessories,23.46,6,7.038
Female,837-55-7229,B,Mandalay,Normal,Fashion accessories,47.44,1,2.372
Female,810-60-6344,C,Naypyitaw,Normal,Electronic accessories,40.86,8,16.344
Female,394-30-3170,B,Mandalay,Member,Sports and travel,88.43,8,35.372
Female,138-17-5109,A,Yangon,Member,Home and lifestyle,89.21,9,401.445
Female,301-11-9629,A,Yangon,Normal,Sports and travel,19.1,7,6.685
Female,390-80-5128,B,Mandalay,Member,Health and beauty,19.15,1,9.575
Female,296-11-7041,B,Mandalay,Member,Health and beauty,27.07,1,1.3535
Female,449-27-2918,B,Mandalay,Member,Sports and travel,39.12,1,1.956
Female,891-01-7034,B,Mandalay,Normal,Electronic accessories,74.71,6,22.413
Female,727-17-0390,A,Yangon,Normal,Food and beverages,63.61,5,159.025
Female,767-54-1907,B,Mandalay,Member,Fashion accessories,29.56,5,7.39
Female,710-46-4433,B,Mandalay,Member,Food and beverages,77.4,9,34.83
Female,325-90-8763,C,Naypyitaw,Member,Electronic accessories,46.57,10,23.285
Female,234-03-4040,B,Mandalay,Member,Food and beverages,73.05,10,36.525
Female,326-71-2155,C,Naypyitaw,Normal,Sports and travel,73.95,4,14.79
Female,320-32-8842,C,Naypyitaw,Member,Food and beverages,22.62,1,1.131
Female,878-30-2331,C,Naypyitaw,Member,Sports and travel,54.55,10,27.275
Female,440-59-5691,C,Naypyitaw,Member,Health and beauty,37.15,7,130.025
Female,233-34-0817,C,Naypyitaw,Member,Electronic accessories,98.84,1,4.942
Female,767-05-1286,C,Naypyitaw,Member,Home and lifestyle,83.77,6,25.131
Female,340-21-9136,A,Yangon,Member,Sports and travel,40.05,4,08.01
Female,676-39-6028,A,Yangon,Member,Electronic accessories,64.44,5,16.11
Female,485-30-8700,A,Yangon,Normal,Sports and travel,33.26,5,8.315
Female,246-11-3901,C,Naypyitaw,Normal,Electronic accessories,32.8,10,16.4
Female,493-65-6248,C,Naypyitaw,Member,Sports and travel,36.98,10,18.49
Female,438-01-4015,B,Mandalay,Member,Sports and travel,49.49,4,9.898
Female,709-58-4068,B,Mandalay,Normal,Fashion accessories,41.09,10,20.545
Female,627-95-3243,B,Mandalay,Member,Home and lifestyle,77.68,9,34.956
Female,686-41-0932,B,Mandalay,Normal,Fashion accessories,34.7,2,3.47
Female,510-09-5628,A,Yangon,Member,Fashion accessories,19.66,10,9.83
Female,608-04-3797,B,Mandalay,Member,Health and beauty,25.32,8,10.128
Female,148-82-2527,C,Naypyitaw,Member,Home and lifestyle,12.12,10,06.06
Female,556-97-7101,C,Naypyitaw,Normal,Electronic accessories,63.22,2,6.322
Female,862-59-8517,C,Naypyitaw,Normal,Food and beverages,90.24,6,27.072
Female,401-18-8016,B,Mandalay,Member,Sports and travel,98.13,1,4.9065
Female,420-18-8989,A,Yangon,Member,Sports and travel,51.52,8,20.608
Female,573-98-8548,C,Naypyitaw,Member,Fashion accessories,31.9,1,1.595
Female,282-35-2475,B,Mandalay,Normal,Sports and travel,93.31,2,9.331
Female,387-49-4215,B,Mandalay,Member,Sports and travel,48.5,3,7.275
Female,862-17-9201,B,Mandalay,Normal,Food and beverages,84.05,6,25.215
Female,602-80-9671,C,Naypyitaw,Member,Home and lifestyle,15.95,6,4.785
Female,347-72-6115,B,Mandalay,Member,Sports and travel,90.74,7,31.759
Female,209-61-0206,A,Yangon,Normal,Home and lifestyle,42.91,5,10.7275
Female,595-27-4851,A,Yangon,Normal,Fashion accessories,54.28,7,18.998
Female,413-20-6708,C,Naypyitaw,Member,Fashion accessories,51.47,1,2.5735
Female,734-91-1155,B,Mandalay,Normal,Electronic accessories,45.71,3,6.8565
Female,451-28-5717,C,Naypyitaw,Member,Home and lifestyle,83.17,6,24.951
Female,609-81-8548,A,Yangon,Member,Home and lifestyle,37.44,6,11.232
Female,719-89-8991,A,Yangon,Member,Sports and travel,91.41,5,228.525
Female,827-44-5872,B,Mandalay,Member,Food and beverages,54.36,10,27.18
Female,236-27-1144,C,Naypyitaw,Normal,Food and beverages,16.31,9,7.3395
Female,892-05-6689,A,Yangon,Normal,Home and lifestyle,28.32,5,07.08
Female,339-12-4827,B,Mandalay,Member,Fashion accessories,73.96,1,3.698
Female,308-81-0538,A,Yangon,Normal,Fashion accessories,73.05,4,14.61
Female,358-88-9262,C,Naypyitaw,Member,Food and beverages,87.48,6,26.244
Female,173-50-1108,B,Mandalay,Member,Sports and travel,20.18,4,4.036
Female,841-18-8232,B,Mandalay,Normal,Food and beverages,71.2,1,3.56
Female,647-50-1224,A,Yangon,Normal,Fashion accessories,29.42,10,14.71
Female,539-21-7227,B,Mandalay,Normal,Sports and travel,51.54,5,12.885
Female,213-32-1216,A,Yangon,Normal,Electronic accessories,66.06,6,19.818
Female,582-52-8065,B,Mandalay,Normal,Fashion accessories,54.31,9,244.395
Female,210-57-1719,B,Mandalay,Normal,Health and beauty,58.24,9,26.208
Female,198-66-9832,B,Mandalay,Member,Fashion accessories,72.04,2,7.204
Female,283-26-5248,C,Naypyitaw,Member,Food and beverages,98.52,10,49.26
Female,218-59-9410,A,Yangon,Member,Home and lifestyle,72.42,3,10.863
Female,134-54-4720,B,Mandalay,Normal,Electronic accessories,42.42,8,16.968
Female,698-98-5964,A,Yangon,Normal,Food and beverages,81.21,10,40.605
Female,718-57-9773,C,Naypyitaw,Normal,Sports and travel,49.33,10,24.665
Female,651-88-7328,A,Yangon,Normal,Fashion accessories,65.74,9,29.583
Female,241-11-2261,B,Mandalay,Normal,Fashion accessories,79.86,7,27.951
Female,408-26-9866,C,Naypyitaw,Normal,Sports and travel,73.98,7,25.893
Female,834-83-1826,B,Mandalay,Member,Home and lifestyle,82.04,5,20.51
Female,797-88-0493,A,Yangon,Normal,Health and beauty,64.27,4,12.854
Female,443-82-0585,A,Yangon,Member,Health and beauty,77.68,4,15.536
Female,339-18-7061,C,Naypyitaw,Member,Fashion accessories,92.98,2,9.298
Female,359-90-3665,B,Mandalay,Member,Fashion accessories,18.08,4,3.616
Female,278-86-2735,A,Yangon,Normal,Food and beverages,52.34,3,7.851
Female,695-28-6250,A,Yangon,Normal,Sports and travel,43.06,5,10.765
Female,788-07-8452,C,Naypyitaw,Member,Home and lifestyle,24.24,7,8.484
Female,560-49-6611,A,Yangon,Member,Sports and travel,45.58,1,2.279
Female,880-35-0356,A,Yangon,Member,Sports and travel,75.2,3,11.28
Female,123-35-4896,C,Naypyitaw,Normal,Sports and travel,46.66,9,20.997
Female,258-69-7810,C,Naypyitaw,Normal,Fashion accessories,36.85,5,9.2125
Female,334-64-2006,A,Yangon,Member,Home and lifestyle,70.32,2,7.032
Female,881-41-7302,C,Naypyitaw,Normal,Fashion accessories,64.99,1,3.2495
Female,642-30-6693,B,Mandalay,Normal,Sports and travel,54.51,6,16.353
Female,484-22-8230,C,Naypyitaw,Member,Fashion accessories,51.89,7,181.615
Female,559-98-9873,A,Yangon,Member,Fashion accessories,53.65,7,187.775
Female,544-32-5024,C,Naypyitaw,Member,Food and beverages,49.79,4,9.958
Female,421-95-9805,A,Yangon,Normal,Electronic accessories,28.96,1,1.448
Female,277-35-5865,C,Naypyitaw,Member,Food and beverages,98.97,9,445.365
Female,509-29-3912,A,Yangon,Member,Sports and travel,38.72,9,17.424
Female,641-96-3695,C,Naypyitaw,Member,Fashion accessories,43.46,6,13.038
Female,420-97-3340,A,Yangon,Normal,Food and beverages,71.68,3,10.752
Female,436-54-4512,A,Yangon,Member,Food and beverages,91.61,1,4.5805
Female,670-79-6321,B,Mandalay,Member,Home and lifestyle,94.59,7,331.065
Female,852-62-7105,B,Mandalay,Normal,Fashion accessories,83.25,10,41.625
Female,135-13-8269,B,Mandalay,Member,Food and beverages,78.88,2,7.888
Female,308-39-1707,A,Yangon,Normal,Fashion accessories,12.09,1,6.045
Female,318-81-2368,C,Naypyitaw,Normal,Electronic accessories,46.2,1,2.31
Female,364-33-8584,B,Mandalay,Member,Food and beverages,17.63,5,4.4075
Female,695-09-5146,B,Mandalay,Member,Food and beverages,98.79,3,148.185
Female,155-45-3814,C,Naypyitaw,Member,Electronic accessories,88.55,8,35.42
Female,131-15-8856,C,Naypyitaw,Member,Food and beverages,72.52,8,29.008
Female,859-71-0933,C,Naypyitaw,Member,Sports and travel,15.49,2,1.549
Female,563-47-4072,B,Mandalay,Normal,Health and beauty,55.81,6,16.743
Female,169-52-4504,A,Yangon,Normal,Electronic accessories,15.69,3,2.3535
Female,250-81-7186,C,Naypyitaw,Normal,Electronic accessories,99.69,1,4.9845
Female,562-12-5430,A,Yangon,Member,Fashion accessories,88.15,3,132.225
Female,816-72-8853,A,Yangon,Member,Sports and travel,27.93,5,6.9825
Female,322-02-2271,B,Mandalay,Normal,Sports and travel,42.97,3,6.4455
Female,725-67-2480,B,Mandalay,Member,Fashion accessories,58.75,6,17.625
Female,641-51-2661,C,Naypyitaw,Member,Food and beverages,87.1,10,43.55
Female,714-02-3114,C,Naypyitaw,Normal,Sports and travel,98.8,2,9.88
Female,518-17-2983,A,Yangon,Normal,Fashion accessories,48.63,4,9.726
Female,190-14-3147,B,Mandalay,Normal,Health and beauty,17.97,4,3.594
Female,408-66-6712,C,Naypyitaw,Member,Health and beauty,47.71,6,14.313
Female,679-22-6530,B,Mandalay,Normal,Sports and travel,40.62,2,4.062
Female,576-31-4774,B,Mandalay,Normal,Health and beauty,73.41,3,11.0115
Female,811-03-8790,A,Yangon,Normal,Electronic accessories,45.48,10,22.74
Female,752-23-3760,B,Mandalay,Member,Sports and travel,64.08,7,22.428
Female,274-05-5470,A,Yangon,Member,Food and beverages,73.47,4,14.694
Female,528-87-5606,B,Mandalay,Member,Electronic accessories,39.48,1,1.974
Female,320-85-2052,B,Mandalay,Normal,Sports and travel,34.81,1,1.7405
Female,370-96-0655,C,Naypyitaw,Normal,Fashion accessories,49.32,6,14.796
Female,510-79-0415,B,Mandalay,Member,Sports and travel,23.08,6,6.924
Female,241-96-5076,B,Mandalay,Member,Home and lifestyle,49.1,2,4.91
Female,767-97-4650,B,Mandalay,Member,Sports and travel,64.83,2,6.483
Female,305-03-2383,A,Yangon,Normal,Food and beverages,67.1,3,10.065
Female,394-55-6384,C,Naypyitaw,Member,Sports and travel,70.19,9,315.855
Female,196-01-2849,C,Naypyitaw,Member,Fashion accessories,73.38,7,25.683
Female,372-62-5264,C,Naypyitaw,Normal,Food and beverages,52.6,9,23.67
Female,800-09-8606,A,Yangon,Member,Home and lifestyle,87.37,5,218.425
Female,182-52-7000,A,Yangon,Member,Sports and travel,27.04,4,5.408
Female,626-43-7888,C,Naypyitaw,Normal,Fashion accessories,60.41,8,24.164
Female,191-29-0321,B,Mandalay,Member,Fashion accessories,19.77,10,9.885
Female,640-48-5028,B,Mandalay,Member,Home and lifestyle,88.39,9,397.755
Female,834-45-5519,B,Mandalay,Normal,Electronic accessories,43,4,8.6
Female,728-88-7867,C,Naypyitaw,Member,Home and lifestyle,75.53,4,15.106
Female,183-21-3799,C,Naypyitaw,Normal,Electronic accessories,77.63,9,349.335
